债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
利尔转债,128046,072258,2018-10-17T00:00:00,1169.0,1177.7,125.0%,1177.77,1163.01,1177.7,2580,3016630.0
顾家转债,113518,754816,2018-09-12T00:00:00,123.89,127.0,343.0%,127.97,123.62,126.89,20286,25237715.0
机电转债,128045,072013,2018-08-27T00:00:00,1258.0,1293.9,301.0%,1293.9,1255.5,1275.8,14301,18220042.0
岭南转债,128044,072717,2018-08-14T00:00:00,1090.05,1098.93,163.0%,1103.0,1085.1,1098.93,18231,19919426.0
蓝盾转债,123015,370297,2018-08-13T00:00:00,1710.02,1810.0,2077.0%,1953.73,1586.02,1770.0,1464837,2661615216.0
曙光转债,113517,754019,2018-08-06T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
苏农转债,113516,754323,2018-08-02T00:00:00,107.41,107.52,52.0%,107.87,107.31,107.43,3254,3498522.0
东音转债,128043,072793,2018-08-02T00:00:00,2741.0,3055.5,1659.0%,3142.47,2640.6,3025.5,508262,1464351216.0
凯中转债,128042,072823,2018-07-30T00:00:00,1093.0,1103.2,131.0%,1104.47,1090.0,1103.2,609,668366.0
凯发转债,123014,370407,2018-07-27T00:00:00,1603.0,1780.0,1815.0%,1870.0,1550.01,1763.0,922025,1597245280.0
高能转债,113515,754588,2018-07-26T00:00:00,132.31,133.99,422.0%,136.67,131.02,134.0,8833,11787102.0
横河转债,123013,370539,2018-07-26T00:00:00,2950.0,3200.0,1472.0%,3350.0,2885.0,3160.0,562520,1771625344.0
威帝转债,113514,754023,2018-07-20T00:00:00,156.64,175.0,1878.0%,188.7,155.01,179.39,601067,1043288800.0
万顺转债,123012,370057,2018-07-20T00:00:00,1455.0,1573.0,2048.0%,1700.0,1382.51,1550.0,914476,1438163440.0
德尔转债,123011,370473,2018-07-18T00:00:00,1074.1,1087.3,420.0%,1118.88,1073.21,1087.3,19206,21130471.0
盛路转债,128041,072446,2018-07-17T00:00:00,2675.5,2736.0,1966.0%,2976.55,2451.75,2670.0,1381007,3852127984.0
海澜转债,110045,733398,2018-07-13T00:00:00,102.04,102.36,64.0%,102.41,101.75,102.37,7424,7569799.0
安井转债,113513,754345,2018-07-12T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
景旺转债,113512,754228,2018-07-06T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
博世转债,123010,370422,2018-07-05T00:00:00,1158.89,1169.11,172.0%,1177.55,1157.45,1169.22,269,313978.0
湖广转债,127007,070665,2018-06-28T00:00:00,354.9,0.0,0.0%,0.0,0.0,354.9,0,0.0
广电转债,110044,733831,2018-06-27T00:00:00,183.46,184.05,2089.0%,211.88,174.0,181.34,819882,1612563312.0
千禾转债,113511,754027,2018-06-20T00:00:00,169.83,163.9,2313.0%,200.0,162.06,164.04,66446,112952911.0
再升转债,113510,754601,2018-06-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
华通转债,128040,072758,2018-06-14T00:00:00,1170.99,1193.0,307.0%,1202.78,1166.27,1190.0,24217,28619000.0
三力转债,128039,072224,2018-06-08T00:00:00,1265.0,1301.0,484.0%,1311.02,1248.13,1300.0,87589,111595923.0
新泉转债,113509,754179,2018-06-04T00:00:00,132.0,133.57,518.0%,137.55,130.63,133.57,33729,45031939.0
新凤转债,113508,754225,2018-04-26T00:00:00,107.16,107.22,27.0%,107.34,107.05,107.19,2272,2435495.0
天马转债,113507,754668,2018-04-17T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
鼎信转债,113506,754421,2018-04-16T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
利欧转债,128038,072131,2018-03-22T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
岩土转债,128037,072542,2018-03-15T00:00:00,1033.96,1038.4,66.0%,1039.8,1033.0,1038.0,2983,3089362.0
敖东转债,127006,070623,2018-03-13T00:00:00,565.4,0.0,0.0%,0.0,0.0,565.4,0,0.0
长证转债,127005,070783,2018-03-12T00:00:00,408.5,0.0,0.0%,0.0,0.0,408.5,0,0.0
金农转债,128036,072548,2018-03-09T00:00:00,1905.0,2100.0,2481.0%,2169.9,1653.76,2080.0,1541974,3126000656.0
星源转债,123009,370568,2018-03-07T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
杭电转债,113505,754618,2018-03-06T00:00:00,111.08,109.8,862.0%,119.3,109.8,110.27,271307,308239008.0
艾华转债,113504,754989,2018-03-02T00:00:00,125.7,127.89,227.0%,128.44,125.55,127.07,4500,5733129.0
玲珑转债,113019,783966,2018-03-01T00:00:00,127.33,131.0,322.0%,131.0,126.82,129.82,536,688075.0
大族转债,128035,072008,2018-02-06T00:00:00,1081.89,1083.0,74.0%,1085.0,1077.0,1083.0,8067,8713312.0
