,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
324,西洋转债,600558,2009-09-21T00:00:00,600558,大西洋,3.09,2.3%,0.04,94815,29191341.0,2.3%,3.11,3.04,3.06,3.05,2.15
325,厦工转债,600815,2009-09-11T00:00:00,600815,*ST厦工,2.39,1.69%,0.03,24209,5780191.0,1.69%,2.4,2.36,2.38,2.36,1.64
326,09长虹债,600839,2009-08-19T00:00:00,600839,四川长虹,2.71,1.47%,-0.02,193721,52673638.0,1.47%,2.74,2.7,2.74,2.73,0.81
327,08葛洲债,600068,2008-07-11T00:00:00,600068,葛洲坝,6.7,2.22%,-0.05,174523,117285322.0,2.22%,6.82,6.67,6.8,6.75,0.6
328,08宝钢债,600019,2008-07-04T00:00:00,600019,宝钢股份,4.85,0.83%,0.02,147511,71326155.0,0.83%,4.85,4.81,4.85,4.83,1.18
329,08康美债,600518,2008-05-26T00:00:00,600518,ST康美,3.04,1.99%,0.02,94823,28848032.0,1.99%,3.07,3.01,3.02,3.02,1.08
330,柳工转债,528,2008-05-06T00:00:00,528,柳    工,6.73,1.91%,-0.08,100775,68038218.0,1.91%,6.84,6.71,6.83,6.81,0.81
331,08青啤债,600600,2008-04-18T00:00:00,600600,青岛啤酒,47.18,1.99%,0.39,24308,114764665.0,1.99%,47.65,46.72,46.79,46.79,1.08
332,五洲转债,600368,2008-03-14T00:00:00,600368,五洲交通,3.87,3.4%,0.05,117848,45427418.0,3.4%,3.92,3.79,3.85,3.82,3.72
333,五洲转债,600368,2008-03-14T00:00:00,600368,五洲交通,3.86,3.4%,0.04,118868,45821215.0,3.4%,3.92,3.79,3.85,3.82,3.75
334,08上港债,600018,2008-03-07T00:00:00,600018,上港集团,4.29,1.4%,0.01,94938,40749283.0,1.4%,4.32,4.26,4.27,4.28,1.54
335,中兴债1,63,2008-02-22T00:00:00,63,中兴通讯,40.07,2.68%,-0.53,334696,1352427696.0,2.68%,41.09,40.0,41.0,40.6,0.91
336,08赣粤债,600269,2008-02-28T00:00:00,600269,赣粤高速,3.54,0.56%,0.0,28403,10054590.0,0.56%,3.55,3.53,3.55,3.54,1.06
337,08赣粤债,600269,2008-02-28T00:00:00,600269,赣粤高速,3.54,0.56%,0.0,28403,10054590.0,0.56%,3.55,3.53,3.55,3.54,1.06
338,08中远债,600428,2008-02-26T00:00:00,600428,中远海特,3.25,3.42%,0.03,73625,23891854.0,3.42%,3.29,3.18,3.19,3.22,2.52
